,TIC,sec,ec_long,ec_lat,num_s
125,20319492,90,180.5066516185574,-30.645700470163018,7
126,20319492,100,180.5066516185574,-30.645700470163018,7
127,20319492,113,180.5066516185574,-30.645700470163018,7
128,20319492,114,180.5066516185574,-30.645700470163018,7
129,20416870,9,180.26147604672167,-28.57931910761359,7
130,20416870,36,180.26147604672167,-28.57931910761359,7
131,20416870,63,180.26147604672167,-28.57931910761359,7
132,20416870,90,180.26147604672167,-28.57931910761359,7
133,20416870,100,180.26147604672167,-28.57931910761359,7
134,20416870,113,180.26147604672167,-28.57931910761359,7
135,20416870,114,180.26147604672167,-28.57931910761359,7
136,20420151,44,125.97460797863563,-4.7089490908852545,5
137,20420151,45,125.97460797863563,-4.7089490908852545,5
138,20420151,46,125.97460797863563,-4.7089490908852545,5
139,20420151,71,125.97460797863563,-4.7089490908852545,5
140,20420151,72,125.97460797863563,-4.7089490908852545,5
141,20427136,9,180.69814515037595,-28.75570971523221,7
142,20427136,36,180.69814515037595,-28.75570971523221,7
143,20427136,63,180.69814515037595,-28.75570971523221,7
144,20427136,90,180.69814515037595,-28.75570971523221,7
145,20427136,100,180.69814515037595,-28.75570971523221,7
146,20427136,113,180.69814515037595,-28.75570971523221,7
147,20427136,114,180.69814515037595,-28.75570971523221,7
148,20402401,43,85.94068146556597,-4.398791172467952,5
149,20402401,44,85.94068146556597,-4.398791172467952,5
150,20402401,45,85.94068146556597,-4.398791172467952,5
151,20402401,71,85.94068146556597,-4.398791172467952,5
152,20402401,72,85.94068146556597,-4.398791172467952,5
153,40295987,14,303.2331417915441,52.028694877854484,8
154,40295987,40,303.2331417915441,52.028694877854484,8
155,40295987,41,303.2331417915441,52.028694877854484,8
156,40295987,54,303.2331417915441,52.028694877854484,8
157,40295987,74,303.2331417915441,52.028694877854484,8
158,40295987,81,303.2331417915441,52.028694877854484,8
159,40295987,119,303.2331417915441,52.028694877854484,8
160,40295987,120,303.2331417915441,52.028694877854484,8
161,40468289,14,304.2649342805289,53.89799787709466,8
162,40468289,40,304.2649342805289,53.89799787709466,8
163,40468289,41,304.2649342805289,53.89799787709466,8
164,40468289,54,304.2649342805289,53.89799787709466,8
165,40468289,74,304.2649342805289,53.89799787709466,8
166,40468289,75,304.2649342805289,53.89799787709466,8
167,40468289,119,304.2649342805289,53.89799787709466,8
168,40468289,120,304.2649342805289,53.89799787709466,8
169,842202,92,278.81840347413134,1.7515016199545597,2
170,842202,116,278.81840347413134,1.7515016199545597,2
171,915512,8,140.03172372301458,-20.991847307232163,7
172,915512,34,140.03172372301458,-20.991847307232163,7
173,915512,61,140.03172372301458,-20.991847307232163,7
174,915512,88,140.03172372301458,-20.991847307232163,7
175,915512,99,140.03172372301458,-20.991847307232163,7
176,915512,112,140.03172372301458,-20.991847307232163,7
177,915512,113,140.03172372301458,-20.991847307232163,7
178,887930,42,327.0426583985125,3.273087665707158,3
179,887930,92,327.0426583985125,3.273087665707158,3
180,887930,116,327.0426583985125,3.273087665707158,3
181,20610859,14,291.5071101030162,55.35952345860046,9
182,20610859,26,291.5071101030162,55.35952345860046,9
183,20610859,40,291.5071101030162,55.35952345860046,9
184,20610859,53,291.5071101030162,55.35952345860046,9
185,20610859,54,291.5071101030162,55.35952345860046,9
186,20610859,74,291.5071101030162,55.35952345860046,9
187,20610859,80,291.5071101030162,55.35952345860046,9
188,20610859,81,291.5071101030162,55.35952345860046,9
189,20610859,119,291.5071101030162,55.35952345860046,9
190,20601206,14,291.2900593796552,55.29096260804385,9
191,20601206,26,291.2900593796552,55.29096260804385,9
192,20601206,40,291.2900593796552,55.29096260804385,9
