,TIC,ec_long,ec_lat,num_s,sec
1159,72510218,214.53782074388886,-12.108119921002064,4,"[11, 37, 64, 115]"
1160,53650754,276.2778801434284,-3.471209329780638,3,"[91, 92, 116]"
1161,72518665,200.39510195341137,22.83126309278614,2,"[23, 50]"
1162,72518710,200.4036530782665,22.63793124233774,2,"[23, 50]"
1163,72519389,70.38176383272452,36.0562118617786,3,"[19, 59, 86]"
1164,72546839,201.41257702096732,22.107911465211465,2,"[23, 50]"
1165,72576830,201.41005704347225,22.7300563041725,2,"[23, 50]"
1166,72528673,69.32821624121303,32.70487463608581,3,"[19, 59, 86]"
1167,72601126,202.86448403924737,25.688436870396345,2,"[23, 50]"
1168,72602427,208.96912643209265,30.7223541551324,1,[50]
1169,92226990,5.235302674122028,-16.318940638826234,2,"[3, 30]"
1170,92230819,3.7264709824556226,-19.80849101679438,3,"[3, 30, 107]"
1171,92230848,3.7589939787797584,-19.571719845145992,3,"[3, 30, 107]"
1172,92229576,39.63578818949641,-36.53765943224101,5,"[4, 31, 105, 107, 108]"
1173,92252166,41.162993272536646,-35.41594282007053,4,"[4, 31, 108, 109]"
1174,92234254,40.43251596993307,-34.81002483660209,4,"[4, 31, 108, 109]"
1175,92253544,306.2138275026087,-14.985546976299002,3,"[1, 27, 95]"
1176,92260423,41.353159618892725,-35.76689046918541,4,"[4, 31, 108, 109]"
1177,92281720,41.303872381215626,-37.31464673757629,5,"[4, 31, 105, 107, 108]"
1178,53701382,25.209037449478533,24.871086774105002,3,"[17, 57, 84]"
1179,53745922,108.15901190823419,-47.13159419965982,8,"[6, 7, 33, 87, 108, 109, 110, 111]"
1180,53743451,108.00367988274702,-47.29319364055717,8,"[6, 7, 33, 87, 108, 109, 110, 111]"
1181,72637786,18.212786926566057,-37.712514530594056,6,"[3, 30, 97, 105, 106, 108]"
1182,72650737,212.22640537881773,26.709900998394012,2,"[50, 51]"
1183,72648803,210.7644325410565,27.48747894233849,1,[50]
1184,72670776,208.37840659350147,-37.89633185442822,8,"[10, 37, 64, 100, 101, 112, 113, 114]"
1185,72748794,21.83676079434661,-37.24564456154025,6,"[3, 30, 97, 105, 107, 108]"
1186,92361191,42.23879936196314,-40.88490174786258,5,"[4, 105, 106, 107, 108]"
