#
#  Times of cadences affected by momentum dumps
#  Created Thu Oct  9 00:03:05 EDT 2025 by roland
#
#  Fields are UTC, TJD, spacecraft time, cadence number, FFI number
#
2018-10-09 05:07:39.862603 UTC, 1400.71445654, 1223096880.0, 124747, 8316
2018-10-09 05:09:39.862555 UTC, 1400.71584543, 1223097000.0, 124748, 8316
2018-10-11 04:55:39.793166 UTC, 1402.70612240, 1223268960.0, 126181, 8411
2018-10-11 04:57:39.793118 UTC, 1402.70751129, 1223269080.0, 126182, 8411
2018-10-11 04:59:39.793069 UTC, 1402.70890018, 1223269200.0, 126183, 8412
2018-10-11 05:01:39.793021 UTC, 1402.71028907, 1223269320.0, 126184, 8412
2018-10-11 05:03:39.792973 UTC, 1402.71167796, 1223269440.0, 126185, 8412
2018-10-11 05:05:39.792924 UTC, 1402.71306684, 1223269560.0, 126186, 8412
2018-10-11 05:07:39.792876 UTC, 1402.71445573, 1223269680.0, 126187, 8412
2018-10-11 05:09:39.792827 UTC, 1402.71584462, 1223269800.0, 126188, 8412
2018-10-13 04:55:39.723439 UTC, 1404.70612159, 1223441760.0, 127621, 8507
2018-10-13 04:57:39.723390 UTC, 1404.70751048, 1223441880.0, 127622, 8507
2018-10-13 04:59:39.723342 UTC, 1404.70889937, 1223442000.0, 127623, 8508
2018-10-13 05:01:39.723293 UTC, 1404.71028826, 1223442120.0, 127624, 8508
2018-10-13 05:03:39.723245 UTC, 1404.71167715, 1223442240.0, 127625, 8508
2018-10-13 05:05:39.723196 UTC, 1404.71306604, 1223442360.0, 127626, 8508
2018-10-13 05:07:39.723148 UTC, 1404.71445492, 1223442480.0, 127627, 8508
2018-10-13 05:09:39.723100 UTC, 1404.71584381, 1223442600.0, 127628, 8508
2018-10-19 09:19:39.507065 UTC, 1410.88945242, 1223976000.0, 132073, 8804
2018-10-19 09:21:39.507015 UTC, 1410.89084131, 1223976120.0, 132074, 8804
2018-10-19 09:23:39.506965 UTC, 1410.89223020, 1223976240.0, 132075, 8804
2018-10-19 09:25:39.506916 UTC, 1410.89361909, 1223976360.0, 132076, 8804
2018-10-19 09:27:39.506866 UTC, 1410.89500798, 1223976480.0, 132077, 8804
2018-10-19 09:29:39.506817 UTC, 1410.89639687, 1223976600.0, 132078, 8805
2018-10-19 09:31:39.506767 UTC, 1410.89778575, 1223976720.0, 132079, 8805
2018-10-19 09:33:39.506718 UTC, 1410.89917464, 1223976840.0, 132080, 8805
2018-10-19 09:35:39.506668 UTC, 1410.90056353, 1223976960.0, 132081, 8805
2018-10-19 09:37:39.506619 UTC, 1410.90195242, 1223977080.0, 132082, 8805
2018-10-19 09:39:39.506569 UTC, 1410.90334131, 1223977200.0, 132083, 8805
2018-10-19 09:41:39.506520 UTC, 1410.90473020, 1223977320.0, 132084, 8805
2018-10-19 09:43:39.506470 UTC, 1410.90611908, 1223977440.0, 132085, 8805
2018-10-21 10:25:39.434086 UTC, 1412.93528491, 1224152760.0, 133546, 8902
2018-10-21 10:27:39.434037 UTC, 1412.93667380, 1224152880.0, 133547, 8902
2018-10-21 10:29:39.433987 UTC, 1412.93806269, 1224153000.0, 133548, 8903
